"date","street","average"
"1/1/2017","Flinders St-Swanston St (West)","2857.17"
"1/2/2017","Flinders St-Swanston St (West)","2877.83"
"1/3/2017","Flinders St-Swanston St (West)","3754.08"
"1/4/2017","Flinders St-Swanston St (West)","3645.25"
"1/5/2017","Flinders St-Swanston St (West)","3508.58"
"1/6/2017","Southbank","2841.08"
"1/7/2017","Southbank","2207.83"
"1/8/2017","Southbank","2350.58"
"1/9/2017","Southbank","2750.50"
"1/10/2017","Southbank","2881.58"
"1/11/2017","Southbank","2953.42"
"1/12/2017","Southbank","3022.33"
"1/13/2017","Bourke Street Mall (North)","2547.00"
"1/14/2017","Southbank","2883.08"
"1/15/2017","St-Kilda-Alexandra Gardens","3338.83"
"1/16/2017","Southbank","2727.58"
"1/17/2017","Southbank","2588.92"
"1/18/2017","Southbank","3036.33"
"1/19/2017","Southbank","3256.75"
"1/20/2017","City Square","3432.67"
"1/21/2017","Birrarung Marr","3958.67"
"1/22/2017","Southbank","3009.58"
"1/23/2017","Southbank","2497.58"
"1/24/2017","Southbank","3204.33"
"1/25/2017","Southbank","3156.58"
"1/26/2017","Southbank","3305.33"
"1/27/2017","Southbank","3549.08"
"1/28/2017","Southbank","4284.42"
"1/29/2017","Southbank","3639.92"
"1/30/2017","Southbank","2154.25"
"1/31/2017","Southbank","2616.58"
"2/1/2017","Southbank","2849.75"
"2/2/2017","Southbank","2758.75"
"2/3/2017","Southbank","3208.33"
"2/4/2017","Southbank","2958.75"
"2/5/2017","Southbank","2041.92"
"2/6/2017","Southbank","2225.08"
"2/7/2017","Southbank","2808.08"
"2/8/2017","Southbank","2376.92"
"2/9/2017","Southbank","2319.58"
"2/10/2017","Southbank","3045.33"
"2/11/2017","Southbank","3077.83"
"2/12/2017","Flinders St-Swanston St (West)","3013.00"
"2/13/2017","Flinders St-Swanston St (West)","3385.33"
"2/14/2017","Flinders St-Swanston St (West)","4159.25"
"2/15/2017","Flinders St-Swanston St (West)","3794.75"
"2/16/2017","Flinders St-Swanston St (West)","3693.33"
"2/17/2017","Southbank","3156.17"
"2/18/2017","Southbank","3418.25"
"2/19/2017","Bourke Street Mall (North)","1711.92"
"2/20/2017","Southbank","2445.75"
"2/21/2017","Southbank","2724.00"
"2/22/2017","Southbank","2620.25"
"2/23/2017","Southbank","2729.08"
"2/24/2017","Southbank","2909.92"
"2/25/2017","Southbank","3130.42"
"2/26/2017","Southbank","3060.75"
"2/27/2017","Southbank","2364.08"
"2/28/2017","Southbank","2529.00"
"3/1/2017","Bourke Street Mall (North)","2453.17"
"3/2/2017","Southbank","2541.33"
"3/3/2017","Southbank","2975.33"
"3/4/2017","Southbank","2839.08"
"3/5/2017","Southbank","2240.58"
"3/6/2017","Southbank","2517.25"
"3/7/2017","Southbank","2614.75"
"3/8/2017","Melbourne Central","2618.67"
"3/9/2017","Bourke Street Mall (North)","2643.58"
"3/10/2017","Southbank","3258.50"
"3/11/2017","Birrarung Marr","4191.75"
"3/12/2017","Birrarung Marr","5490.42"
"3/13/2017","Birrarung Marr","4926.17"
"3/14/2017","Southbank","2369.17"
"3/15/2017","Spencer St-Collins St (North)","2324.17"
