date,street,average
1/1/2017,Collins Place (North),83.04
1/2/2017,Victoria Point,43.50
1/3/2017,QV Market-Peel St,117.92
1/4/2017,Flinders St-Spark Lane,134.63
1/5/2017,Grattan St-Swanston St (West),111.75
1/6/2017,Monash Rd-Swanston St (West),93.33
1/7/2017,Grattan St-Swanston St (West),53.04
1/8/2017,Victoria Point,40.92
1/9/2017,QV Market-Peel St,78.08
1/10/2017,Monash Rd-Swanston St (West),113.25
1/11/2017,Flinders St-Spark Lane,152.38
1/12/2017,Grattan St-Swanston St (West),129.58
1/13/2017,Grattan St-Swanston St (West),125.96
1/14/2017,Grattan St-Swanston St (West),69.88
1/15/2017,Grattan St-Swanston St (West),53.33
1/16/2017,Grattan St-Swanston St (West),146.75
1/17/2017,Monash Rd-Swanston St (West),146.04
1/18/2017,QV Market-Peel St,166.38
1/19/2017,Grattan St-Swanston St (West),141.38
1/20/2017,Grattan St-Swanston St (West),149.88
1/21/2017,Victoria Point,64.08
1/22/2017,Grattan St-Swanston St (West),53.83
1/23/2017,Grattan St-Swanston St (West),138.29
1/24/2017,Lygon Street (East),165.83
1/25/2017,QV Market-Peel St,168.00
1/26/2017,Alfred Place,71.17
1/27/2017,QV Market-Peel St,131.04
1/28/2017,Victoria Point,66.17
1/29/2017,Grattan St-Swanston St (West),56.29
1/30/2017,Flinders St-Spark Lane,146.29
1/31/2017,Lygon Street (East),148.46
2/1/2017,Lygon Street (East),150.92
2/2/2017,Grattan St-Swanston St (West),154.58
2/3/2017,QV Market-Peel St,133.79
2/4/2017,Grattan St-Swanston St (West),70.50
2/5/2017,Monash Rd-Swanston St (West),39.92
2/6/2017,QV Market-Peel St,78.33
2/7/2017,Tin Alley-Swanston St (West),103.92
2/8/2017,Tin Alley-Swanston St (West),136.08
2/9/2017,Tin Alley-Swanston St (West),118.58
2/10/2017,QV Market-Peel St,135.21
2/11/2017,Monash Rd-Swanston St (West),59.13
2/12/2017,Monash Rd-Swanston St (West),63.75
2/13/2017,Lygon Street (East),153.50
2/14/2017,Lygon Street (East),187.96
2/15/2017,QV Market-Peel St,157.42
2/16/2017,Flinders St-Spring St (West),206.79
2/17/2017,Flinders St-Spark Lane,182.13
2/18/2017,Victoria Point,74.21
2/19/2017,Webb Bridge,69.96
2/20/2017,Flinders St-Spark Lane,159.50
2/21/2017,Flinders St-Spark Lane,178.75
2/22/2017,Flinders St-Spark Lane,186.79
2/23/2017,Lygon Street (East),174.08
2/24/2017,Webb Bridge,204.67
2/25/2017,Alfred Place,106.42
2/26/2017,Flinders St-Spring St (West),80.29
2/27/2017,New Quay,178.13
2/28/2017,New Quay,177.46
3/1/2017,New Quay,191.46
3/2/2017,Webb Bridge,201.29
3/3/2017,Webb Bridge,198.79
3/4/2017,Alfred Place,95.83
3/5/2017,Tin Alley-Swanston St (West),77.17
3/6/2017,New Quay,182.96
3/7/2017,New Quay,199.67
3/8/2017,Webb Bridge,196.17
3/9/2017,Webb Bridge,196.25
3/10/2017,Lygon Street (East),193.33
3/11/2017,Flinders St-Spring St (West),96.71
3/12/2017,Collins Place (North),85.42
3/13/2017,QV Market-Peel St,71.96
3/14/2017,Webb Bridge,180.33
3/15/2017,Tin Alley-Swanston St (West),149.67
3/16/2017,Lygon Street (East),152.75
3/17/2017,Flinders St-Spark Lane,198.46
3/18/2017,Waterfront City,107.67
3/19/2017,Collins Place (North),86.17
3/20/2017,Lygon Street (East),150.08
3/21/2017,Flinders St-Spark Lane,144.42
3/22/2017,Lygon Street (East),160.17
3/23/2017,Tin Alley-Swanston St (West),193.54
3/24/2017,Lygon Street (East),214.33
3/25/2017,Alfred Place,115.50
3/26/2017,Waterfront City,77.42
3/27/2017,Lygon Street (East),154.71
3/28/2017,Lygon Street (East),170.71
3/29/2017,Lygon Street (East),159.33
3/30/2017,Tin Alley-Swanston St (West),172.29
3/31/2017,Tin Alley-Swanston St (West),182.67
4/1/2017,Monash Rd-Swanston St (West),110.54
4/2/2017,Southern Cross Station,90.79
4/3/2017,Webb Bridge,209.42
4/4/2017,Webb Bridge,217.54
4/5/2017,Webb Bridge,209.00
4/6/2017,Webb Bridge,202.88
4/7/2017,Flinders St-Spring St (West),217.08
4/8/2017,Monash Rd-Swanston St (West),111.13
4/9/2017,Collins Place (North),73.17
4/10/2017,Flinders St-Spark Lane,120.79
4/11/2017,Webb Bridge,184.08
4/12/2017,Tin Alley-Swanston St (West),189.17
4/13/2017,Webb Bridge,199.46
4/14/2017,QV Market-Peel St,76.88
4/15/2017,Grattan St-Swanston St (West),76.29
4/16/2017,Flinders St-Spring St (West),79.83
4/17/2017,QV Market-Peel St,65.79
4/18/2017,Flinders St-Spark Lane,113.13
4/19/2017,Monash Rd-Swanston St (West),141.75
4/20/2017,Monash Rd-Swanston St (West),137.04
4/21/2017,QV Market-Peel St,130.04
4/22/2017,Flinders St-Spring St (West),98.42
4/23/2017,Flinders St-Spring St (West),87.29
4/24/2017,Flinders St-Spark Lane,165.08
4/25/2017,Southern Cross Station,73.13
4/26/2017,Flinders St-Spark Lane,127.46
4/27/2017,Lygon Street (East),147.79
4/28/2017,Tin Alley-Swanston St (West),167.54
4/29/2017,Flinders St-Spring St (West),99.75
4/30/2017,Tin Alley-Swanston St (West),81.75
5/1/2017,Lygon Street (East),128.17
5/2/2017,Lygon Street (East),137.25
5/3/2017,New Quay,150.00
5/4/2017,Flinders St-Spark Lane,165.58
5/5/2017,Lygon Street (East),190.13
5/6/2017,Alfred Place,101.83
5/7/2017,Collins Place (North),71.33
5/8/2017,Flinders St-Spark Lane,118.13
5/9/2017,Lygon Street (East),134.67
5/10/2017,Flinders St-Spark Lane,153.88
5/11/2017,New Quay,148.96
5/12/2017,Flinders St-Spark Lane,164.63
5/13/2017,Alfred Place,111.25
5/14/2017,Tin Alley-Swanston St (West),73.79
5/15/2017,Lygon Street (East),136.33
5/16/2017,New Quay,142.13
5/17/2017,Lygon Street (East),129.33
5/18/2017,Flinders St-Spark Lane,152.67
5/19/2017,Tin Alley-Swanston St (West),160.33
5/20/2017,Flinders St-Spark Lane,96.08
5/21/2017,Alfred Place,69.04
5/22/2017,Flinders St-Spark Lane,150.38
