Date,Hour,Street,Average
1/1/2017,10,Flinders St-Swanston St (West),1606
1/1/2017,11,Flinders St-Swanston St (West),2417
1/1/2017,12,Flinders St-Swanston St (West),2992
1/1/2017,13,Flinders St-Swanston St (West),3508
1/1/2017,14,Flinders St-Swanston St (West),3610
1/1/2017,15,Flinders St-Swanston St (West),4050
1/1/2017,16,Flinders St-Swanston St (West),3730
1/1/2017,17,Flinders St-Swanston St (West),3413
1/1/2017,18,Southbank,2661
1/1/2017,19,Southbank,2399
1/1/2017,20,Flinders St-Swanston St (West),2139
1/1/2017,21,Birrarung Marr,1980
2/1/2017,10,Flinders St-Swanston St (West),1731
2/1/2017,11,Flinders St-Swanston St (West),2600
2/1/2017,12,Flinders St-Swanston St (West),3229
2/1/2017,13,Flinders St-Swanston St (West),3607
2/1/2017,14,Flinders St-Swanston St (West),3926
2/1/2017,15,Flinders St-Swanston St (West),3806
2/1/2017,16,Flinders St-Swanston St (West),3632
2/1/2017,17,Flinders St-Swanston St (West),3350
2/1/2017,18,Flinders St-Swanston St (West),2786
2/1/2017,19,Southbank,2622
2/1/2017,20,Southbank,2172
2/1/2017,21,Southbank,1780
3/1/2017,10,Flinders St-Swanston St (West),2315
3/1/2017,11,Flinders St-Swanston St (West),3089
3/1/2017,12,Flinders St-Swanston St (West),3792
3/1/2017,13,Flinders St-Swanston St (West),4547
3/1/2017,14,Flinders St-Swanston St (West),4505
3/1/2017,15,Flinders St-Swanston St (West),4611
3/1/2017,16,Flinders St-Swanston St (West),4633
3/1/2017,17,Flinders St-Swanston St (West),4825
3/1/2017,18,Flinders St-Swanston St (West),3850
3/1/2017,19,Flinders St-Swanston St (West),3759
3/1/2017,20,Southbank,2856
3/1/2017,21,Southbank,2377
4/1/2017,10,Flinders St-Swanston St (West),2428
4/1/2017,11,Flinders St-Swanston St (West),3083
4/1/2017,12,Flinders St-Swanston St (West),3987
4/1/2017,13,Flinders St-Swanston St (West),4515
4/1/2017,14,Flinders St-Swanston St (West),4610
4/1/2017,15,Flinders St-Swanston St (West),4531
4/1/2017,16,Flinders St-Swanston St (West),4286
4/1/2017,17,Flinders St-Swanston St (West),4705
4/1/2017,18,Flinders St-Swanston St (West),3812
4/1/2017,19,Flinders St-Swanston St (West),3048
4/1/2017,20,Southbank,2986
4/1/2017,21,Southbank,2609
5/1/2017,10,Flinders St-Swanston St (West),2237
5/1/2017,11,Flinders St-Swanston St (West),3143
5/1/2017,12,Flinders St-Swanston St (West),3581
5/1/2017,13,Flinders St-Swanston St (West),4353
5/1/2017,14,Flinders St-Swanston St (West),4230
5/1/2017,15,Flinders St-Swanston St (West),4217
5/1/2017,16,Flinders St-Swanston St (West),4187
5/1/2017,17,Flinders St-Swanston St (West),4602
5/1/2017,18,Flinders St-Swanston St (West),3592
5/1/2017,19,Flinders St-Swanston St (West),2983
5/1/2017,20,Southbank,2625
5/1/2017,21,Southbank,2807
6/1/2017,10,Southbank,1631
6/1/2017,11,Bourke Street Mall (North),2145
6/1/2017,12,Southbank,3397
6/1/2017,13,Bourke Street Mall (North),3637
6/1/2017,14,Bourke Street Mall (North),3176
6/1/2017,15,Bourke Street Mall (North),3125
6/1/2017,16,Bourke Street Mall (North),3103
6/1/2017,17,Flinders St Station Underpass,3765
6/1/2017,18,Southbank,2969
6/1/2017,19,Southbank,2914
6/1/2017,20,Southbank,3561
6/1/2017,21,Southbank,3543
7/1/2017,10,Southbank,1273
7/1/2017,11,Vic Arts Centre,2066
7/1/2017,12,Bourke Street Mall (North),2319
7/1/2017,13,Bourke Street Mall (North),2471
7/1/2017,14,Bourke Street Mall (North),2527
7/1/2017,15,Bourke Street Mall (North),2388
7/1/2017,16,Vic Arts Centre,2176
7/1/2017,17,Southbank,2063
7/1/2017,18,Southbank,2324
7/1/2017,19,Southbank,2632
7/1/2017,20,Southbank,3381
7/1/2017,21,Southbank,3356
8/1/2017,10,Vic Arts Centre,1404
8/1/2017,11,Vic Arts Centre,2424
8/1/2017,12,Southbank,2159
8/1/2017,13,Vic Arts Centre,2639
8/1/2017,14,Vic Arts Centre,2573
8/1/2017,15,Southbank,2645
8/1/2017,16,Southbank,2813
8/1/2017,17,Southbank,2427
8/1/2017,18,Southbank,2794
8/1/2017,19,Southbank,2822
8/1/2017,20,Southbank,2584
8/1/2017,21,Southbank,2394
9/1/2017,10,Spencer St-Collins St (North),1428
9/1/2017,11,Bourke Street Mall (South),1831
9/1/2017,12,Southbank,3749
9/1/2017,13,Southbank,3736
9/1/2017,14,Bourke Street Mall (South),2927
9/1/2017,15,Princes Bridge,2677
9/1/2017,16,Spencer St-Collins St (North),3000
9/1/2017,17,Flinders St Station Underpass,4880
9/1/2017,18,Southbank,3274
9/1/2017,19,Southbank,2355
9/1/2017,20,Southbank,2362
9/1/2017,21,Southbank,2087
10/1/2017,10,Spencer St-Collins St (North),1473
10/1/2017,11,Bourke Street Mall (North),1963
10/1/2017,12,Southbank,3720
10/1/2017,13,Bourke Street Mall (North),4005
10/1/2017,14,Bourke Street Mall (North),3106
10/1/2017,15,Bourke Street Mall (North),3125
10/1/2017,16,Southbank,3163
10/1/2017,17,Flinders St Station Underpass,4931
10/1/2017,18,Southbank,3578
10/1/2017,19,Southbank,2538
10/1/2017,20,Southbank,2329
10/1/2017,21,Southbank,2251
11/1/2017,10,Southbank,1566
11/1/2017,11,Vic Arts Centre,2197
11/1/2017,12,Southbank,3610
11/1/2017,13,Southbank,3875
11/1/2017,14,Bourke Street Mall (South),3110
11/1/2017,15,Bourke Street Mall (North),3131
11/1/2017,16,Southbank,3256
11/1/2017,17,Flinders St Station Underpass,4939
11/1/2017,18,Southbank,3725
11/1/2017,19,Southbank,2751
11/1/2017,20,Southbank,2225
11/1/2017,21,Southbank,2417
12/1/2017,10,Southbank,1696
12/1/2017,11,Vic Arts Centre,2343
12/1/2017,12,Southbank,3952
12/1/2017,13,Southbank,3993
12/1/2017,14,Bourke Street Mall (North),3349
12/1/2017,15,Bourke Street Mall (North),3063
12/1/2017,16,Bourke Street Mall (North),3114
12/1/2017,17,Flinders St Station Underpass,4964
12/1/2017,18,Southbank,3505
12/1/2017,19,Southbank,2618
12/1/2017,20,Southbank,2640
12/1/2017,21,Southbank,2622
13/1/2017,10,Spencer St-Collins St (North),1428
13/1/2017,11,Bourke Street Mall (North),1896
13/1/2017,12,Southbank,3374
13/1/2017,13,Bourke Street Mall (North),3815
13/1/2017,14,Bourke Street Mall (North),3117
13/1/2017,15,Bourke Street Mall (North),2964
13/1/2017,16,Spencer St-Collins St (North),2931
13/1/2017,17,Flinders St Station Underpass,4068
13/1/2017,18,Southbank,3102
13/1/2017,19,Southbank,2782
13/1/2017,20,Southbank,2667
13/1/2017,21,Southbank,2399
14/1/2017,10,Southbank,1425
14/1/2017,11,Princes Bridge,2284
14/1/2017,12,Bourke Street Mall (South),2537
14/1/2017,13,Vic Arts Centre,2994
14/1/2017,14,Southbank,3160
14/1/2017,15,Bourke Street Mall (South),3261
14/1/2017,16,Bourke Street Mall (North),3134
14/1/2017,17,Southbank,3421
14/1/2017,18,Southbank,3309
14/1/2017,19,Southbank,3778
14/1/2017,20,Southbank,3336
14/1/2017,21,Southbank,3321
15/1/2017,10,Princes Bridge,1601
15/1/2017,11,Southbank,2275
15/1/2017,12,Southbank,2787
15/1/2017,13,St-Kilda-Alexandra Gardens,3902
15/1/2017,14,St-Kilda-Alexandra Gardens,4451
15/1/2017,15,St-Kilda-Alexandra Gardens,4592
15/1/2017,16,St-Kilda-Alexandra Gardens,4458
15/1/2017,17,St-Kilda-Alexandra Gardens,4405
15/1/2017,18,St-Kilda-Alexandra Gardens,3559
15/1/2017,19,St-Kilda-Alexandra Gardens,3663
